Name,Score,Genders,Type,Source,Popularity,Favorites
Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,Original,39,61971
Cowboy Bebop: Tengoku no Tobira,8.39,"Action, Drama, Mystery, Sci-Fi, Space",Movie,Original,518,1174
Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",TV,Manga,201,12944
Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",TV,Original,1467,587
Bouken Ou Beet,6.98,"Adventure, Fantasy, Shounen, Supernatural",TV,Manga,4369,18
Eyeshield 21,7.95,"Action, Sports, Comedy, Shounen",TV,Manga,1003,2066
Hachimitsu to Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",TV,Manga,687,4101
Hungry Heart: Wild Striker,7.59,"Slice of Life, Comedy, Sports, Shounen",TV,Manga,3612,231
Initial D Fourth Stage,8.15,"Action, Cars, Sports, Drama, Seinen",TV,Manga,1233,979
Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,Manga,169,29436
Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,Manga,8,65586
One Piece,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",TV,Manga,31,126645
Tennis no Ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen",TV,Manga,1039,3124
Ring ni Kakero 1,6.38,"Action, Shounen, Sports",TV,Manga,7333,16
School Rumble,7.94,"Comedy, Romance, School, Shounen",TV,Manga,514,5137
Sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",TV,Manga,1284,790
Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",TV,Original,823,3671
Trinity Blood,7.32,"Action, Supernatural, Vampire",TV,Light novel,936,1479
Yakitate!! Japan,7.95,"Comedy, Shounen",TV,Manga,1666,887
Zipang,7.51,"Action, Military, Sci-Fi, Historical, Drama, Seinen",TV,Manga,3985,152
Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",TV,Original,54,71308
Neon Genesis Evangelion: Death & Rebirth,7.45,"Drama, Mecha, Psychological, Sci-Fi",Movie,Original,833,588
Neon Genesis Evangelion: The End of Evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Movie,Original,195,17811
Kenpuu Denki Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,Manga,301,18567
Koukaku Kidoutai,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,Manga,265,10362
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",OVA,Manga,637,6111
Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",TV,Manga,345,11236
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,"Samurai, Historical, Drama, Shounen",Movie,Manga,2411,107
Akira,8.17,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",Movie,Manga,197,9555
.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",TV,Original,940,1359
Aa! Megami-sama!,7.32,"Comedy, Magic, Romance, Seinen, Supernatural",OVA,Manga,2360,267
Aa! Megami-sama! (TV),7.35,"Comedy, Supernatural, Magic, Romance, Seinen",TV,Manga,1083,1124
Tenshi Kinryouku,6.31,"Action, Drama, Romance, Shoujo, Supernatural",OVA,Manga,2419,215
Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",TV,Manga,2232,290
Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",TV,Manga,1465,458
Appleseed (Movie),7.1,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",Movie,Manga,1901,173
Arc the Lad,6.53,"Action, Adventure, Fantasy, Horror, Sci-Fi",TV,Game,4259,17
Avenger,5.91,"Adventure, Fantasy, Sci-Fi, Shounen",TV,Original,4073,21
Beck,8.31,"Comedy, Drama, Music, Shounen, Slice of Life",TV,Manga,570,7038
Blue Gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",TV,Original,1886,389
Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",TV,Manga,332,3859
Chrno Crusade,7.66,"Action, Demons, Historical, Romance, Shounen, Supernatural",TV,Manga,742,2064
D.N.Angel,7.2,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",TV,Manga,891,1523
D.C.: Da Capo,6.77,"Harem, Drama, Magic, Romance",TV,Visual novel,1852,189
DearS,6.62,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",TV,Manga,1146,391
Rozen Maiden,7.44,"Action, Comedy, Drama, Magic, Seinen",TV,Manga,846,2074
Rozen Maiden: Träumend,7.65,"Action, Comedy, Drama, Magic, Seinen",TV,Manga,1479,516
Azumanga Daioh,7.98,"Slice of Life, Comedy, School",TV,4-koma manga,554,5181
Basilisk: Kouga Ninpou Chou,7.58,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",TV,Manga,940,1467
Black Cat (TV),7.38,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",TV,Manga,622,1955
Cluster Edge,6.35,"Action, Fantasy, Military, Sci-Fi",TV,Original,5061,13
Full Metal Panic!,7.65,"Action, Military, Sci-Fi, Comedy, Mecha",TV,Light novel,322,4417
Full Metal Panic? Fumoffu,8.07,"Action, Comedy, School",TV,Light novel,571,2988
Full Metal Panic! The Second Raid,7.96,"Action, Military, Mecha",TV,Light novel,639,1358
Gakuen Alice,7.65,"Comedy, School, Shoujo, Super Power",TV,Manga,1640,1613
Soukyuu no Fafner: Dead Aggressor,7.3,"Action, Drama, Mecha, Military, Sci-Fi",TV,Original,2523,255
Mahou Shoujo Lyrical Nanoha,7.42,"Action, Comedy, Drama, Magic, Super Power",TV,Original,1550,1036
Mahou Shoujo Lyrical Nanoha A's,7.99,"Action, Comedy, Drama, Magic, Super Power",TV,Original,2075,1014
Shuffle!,7.09,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",TV,Visual novel,600,1572
Mobile Suit Gundam,7.78,"Action, Military, Sci-Fi, Space, Mecha",TV,Original,1427,1787
Mobile Suit Gundam: The 08th MS Team,8.03,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",OVA,Original,1948,911
Mobile Suit Gundam 0080: War in the Pocket,7.9,"Military, Sci-Fi, Space, Drama, Mecha",OVA,Original,2444,717
Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,"Military, Sci-Fi, Drama, Romance, Mecha",Movie,Original,4660,3
Mobile Suit Gundam 0083: Stardust Memory,7.3,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",OVA,Original,2791,230
Mobile Suit Zeta Gundam,7.92,"Military, Sci-Fi, Space, Drama, Romance, Mecha",TV,Original,2159,1721
Mobile Suit Gundam ZZ,6.66,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",TV,Original,2941,130
Mobile Suit Gundam: Char's Counterattack,7.68,"Military, Sci-Fi, Space, Drama, Mecha",Movie,Novel,2773,293
Mobile Suit Gundam F91,6.67,"Drama, Mecha, Military, Sci-Fi, Space",Movie,Unknown,3387,63
Mobile Suit Victory Gundam,6.76,"Drama, Mecha, Military, Sci-Fi, Space",TV,Original,3588,95
Mobile Suit Gundam Wing,7.72,"Action, Military, Sci-Fi, Space, Drama, Mecha",TV,Original,1118,2538
Mobile Suit Gundam Wing: Endless Waltz,7.76,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,Original,2512,221
After War Gundam X,7.32,"Sci-Fi, Adventure, Space, Drama, Mecha",TV,Original,3043,189
Mobile Suit Gundam SEED,7.79,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,Original,1057,3584
Mobile Suit Gundam SEED Destiny,7.22,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,Original,1530,1206
Turn A Gundam,7.7,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",TV,Original,2714,760
Mobile Fighter G Gundam,7.56,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",TV,Original,2109,896
Last Exile,7.82,"Action, Sci-Fi, Adventure",TV,Original,995,1848
Mai-HiME,7.46,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",TV,Original,1381,1262
Mai-Otome,7.31,"Comedy, Drama, Fantasy, Magic",TV,Original,2370,333
Shin Shirayuki-hime Densetsu Prétear,7.2,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",TV,Manga,2162,457
Air,7.32,"Slice of Life, Supernatural, Drama, Romance",TV,Visual novel,563,2704
Aishiteruze Baby★★,7.48,"Comedy, Drama, Romance, Shoujo",TV,Manga,1529,571
Akazukin Chacha,7.39,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",TV,Manga,4551,88
Ayashi no Ceres,7.23,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",TV,Manga,2182,535
Boys Be...,6.46,"Slice of Life, Comedy, Romance, Shounen",TV,Manga,3665,41
Hana yori Dango,7.7,"Drama, Romance, School, Shoujo",TV,Manga,2293,762
Ou Dorobou Jing,7.23,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",TV,Manga,2817,210
Ou Dorobou Jing in Seventh Heaven,7.29,"Adventure, Fantasy, Psychological, Comedy, Shounen",OVA,Manga,4619,29
Bakuretsu Tenshi,6.81,"Adventure, Comedy, Mecha, Sci-Fi",TV,Original,1965,257
Chuuka Ichiban!,7.63,"Action, Comedy, Drama, Shounen",TV,Manga,4086,107
Corrector Yui,6.83,"Sci-Fi, Adventure, Comedy, Magic",TV,Original,4519,50
Chou Henshin Cosprayers,4.95,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",TV,Original,5542,5
Uchuu no Stellvia,7.38,"Action, Mecha, Romance, Sci-Fi, Space",TV,Original,3577,127
Sakigake!! Cromartie Koukou,7.93,"Comedy, School, Shounen",TV,Manga,1279,1561
El Hazard: The Alternative World,6.83,"Adventure, Comedy, Fantasy",TV,Original,4961,10
El Hazard: The Wanderers,6.97,"Adventure, Comedy, Romance, Fantasy",TV,Original,4198,35
El Hazard: The Magnificent World,7.32,"Adventure, Comedy, Romance, Fantasy",OVA,Original,4129,91
El Hazard 2: The Magnificent World,6.85,"Adventure, Comedy, Fantasy",OVA,Original,5421,5
Final Approach,6.56,"Comedy, Drama, Romance, Slice of Life",TV,Visual novel,2887,48
Fruits Basket,7.69,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",TV,Manga,314,9504
Fullmetal Alchemist,8.17,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,Manga,52,26564
Full Moon wo Sagashite,7.96,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",TV,Manga,1519,1823
Fushigi Yuugi,7.64,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",TV,Manga,1434,2277
Fushigi Yuugi: Eikouden,6.86,"Adventure, Fantasy, Romance, Drama, Shoujo",OVA,Manga,4101,69
Futakoi,6.49,"Comedy, Romance, School",TV,Original,2900,22
Futakoi Alternative,6.91,"Comedy, Drama, Romance",TV,Original,3071,71
Gate Keepers,6.96,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen",TV,Game,3717,59
Gate Keepers 21,6.79,"Action, Drama, Mecha, Sci-Fi, Shounen",OVA,Game,5026,23
Gensoumaden Saiyuuki,7.59,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural",TV,Manga,2359,833
Saiyuuki Reload,7.41,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,Manga,3071,116
Saiyuuki Reload Gunlock,7.42,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,Manga,3724,51
GetBackers,7.61,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",TV,Manga,1339,911
Green Green,6.21,"Comedy, Ecchi, Romance, School, Slice of Life",TV,Visual novel,1333,263
Gunslinger Girl,7.42,"Action, Psychological, Military, Drama, Sci-Fi",TV,Manga,920,1140
Hikaru no Go,8.11,"Comedy, Game, Shounen, Supernatural",TV,Manga,1287,2186
Hunter x Hunter,8.42,"Action, Adventure, Super Power, Fantasy, Shounen",TV,Manga,319,9525
Hunter x Hunter: Original Video Animation,8.33,"Action, Adventure, Super Power, Shounen",OVA,Manga,1375,408
Hunter x Hunter: Greed Island,8.21,"Action, Adventure, Super Power, Fantasy, Shounen",OVA,Manga,1244,318
Hunter x Hunter: Greed Island Final,8.29,"Action, Adventure, Super Power, Fantasy, Shounen",OVA,Manga,1288,268
Jinki:Extend,6.14,"Mecha, Sci-Fi",TV,Manga,4923,10
